term,coef,std_err,p_value,stars,coef_se,model,outcome,n_obs,r2
Intercept,0.26716916039536,0.028417457017968297,5.3746817252098674e-21,***,0.2672*** (0.0284),Vacation acceptance,X402_BIN,86625,0.0449275636867813
C(YEAR)[T.2016],-0.043219036598841395,0.006350536025753793,1.0064781714143542e-11,***,-0.0432*** (0.0064),Vacation acceptance,X402_BIN,86625,0.0449275636867813
C(YEAR)[T.2022],-0.017004241928485563,0.007995405884184337,0.03344073110179343,**,-0.0170** (0.0080),Vacation acceptance,X402_BIN,86625,0.0449275636867813
X401,-0.04249782170455869,0.001982143453293881,5.62064166830153e-102,***,-0.0425*** (0.0020),Vacation acceptance,X402_BIN,86625,0.0449275636867813
LOG_INCOME_ADJ,0.0024498309133284793,0.0024294271817099805,0.313263155737033,,0.0024 (0.0024),Vacation acceptance,X402_BIN,86625,0.0449275636867813
AGE,-0.0005360335958029979,0.0001806590838571452,0.003006230137388053,***,-0.0005*** (0.0002),Vacation acceptance,X402_BIN,86625,0.0449275636867813
EDUC,0.003267331236450891,0.0010385420437682043,0.0016547752423147274,***,0.0033*** (0.0010),Vacation acceptance,X402_BIN,86625,0.0449275636867813
LOG_NETWORTH,-0.0019974125826736975,0.0004640850958869263,1.6775744835134492e-05,***,-0.0020*** (0.0005),Vacation acceptance,X402_BIN,86625,0.0449275636867813
DEBT2INC,0.00020716623980773395,0.0006633436767618252,0.7548079468162417,,0.0002 (0.0007),Vacation acceptance,X402_BIN,86625,0.0449275636867813
Intercept,1.1232471945108868,0.03917550149341185,8.481583868892542e-181,***,1.1232*** (0.0392),Living-expense acceptance,X403_BIN,86625,0.07750617064113985
C(YEAR)[T.2016],0.06146855217765977,0.009620269103371775,1.664468288125248e-10,***,0.0615*** (0.0096),Living-expense acceptance,X403_BIN,86625,0.07750617064113985
C(YEAR)[T.2022],0.13266598763701465,0.01153866578901868,1.3576748215030155e-30,***,0.1327*** (0.0115),Living-expense acceptance,X403_BIN,86625,0.07750617064113985
X401,-0.03420785693867043,0.0028696752458134164,9.259278804278564e-33,***,-0.0342*** (0.0029),Living-expense acceptance,X403_BIN,86625,0.07750617064113985
LOG_INCOME_ADJ,-0.015852535960403424,0.003454018811792748,4.441139312654126e-06,***,-0.0159*** (0.0035),Living-expense acceptance,X403_BIN,86625,0.07750617064113985
AGE,-0.005341426060697574,0.0002773899538141125,1.256790081071282e-82,***,-0.0053*** (0.0003),Living-expense acceptance,X403_BIN,86625,0.07750617064113985
EDUC,-0.00024275413848033508,0.0016514598896013716,0.8831370221767431,,-0.0002 (0.0017),Living-expense acceptance,X403_BIN,86625,0.07750617064113985
LOG_NETWORTH,-0.005713956401397066,0.000594500410536064,7.159822431480237e-22,***,-0.0057*** (0.0006),Living-expense acceptance,X403_BIN,86625,0.07750617064113985
DEBT2INC,0.0008869319722809376,0.0006583581917959563,0.17791983036991676,,0.0009 (0.0007),Living-expense acceptance,X403_BIN,86625,0.07750617064113985
Intercept,0.5371978390484523,0.03977546749097975,1.4461753698810926e-41,***,0.5372*** (0.0398),Car-loan acceptance,X405_BIN,86625,0.07816393068644212
C(YEAR)[T.2016],-0.0167555987241078,0.008172808344634904,0.04034841447650831,**,-0.0168** (0.0082),Car-loan acceptance,X405_BIN,86625,0.07816393068644212
C(YEAR)[T.2022],-0.029848829517148488,0.009939583597938664,0.002673094568903231,***,-0.0298*** (0.0099),Car-loan acceptance,X405_BIN,86625,0.07816393068644212
X401,-0.05711213543930486,0.0024669468784153815,1.4224498912108804e-118,***,-0.0571*** (0.0025),Car-loan acceptance,X405_BIN,86625,0.07816393068644212
LOG_INCOME_ADJ,0.029208132686754467,0.0035653121999618537,2.5626560417585687e-16,***,0.0292*** (0.0036),Car-loan acceptance,X405_BIN,86625,0.07816393068644212
AGE,-0.001566578551066157,0.0002482790463651221,2.794877377612143e-10,***,-0.0016*** (0.0002),Car-loan acceptance,X405_BIN,86625,0.07816393068644212
EDUC,0.017085192576099032,0.0015248509799865965,3.875364095721682e-29,***,0.0171*** (0.0015),Car-loan acceptance,X405_BIN,86625,0.07816393068644212
LOG_NETWORTH,0.000688011194833495,0.0005271949880186845,0.19187880934496615,,0.0007 (0.0005),Car-loan acceptance,X405_BIN,86625,0.07816393068644212
DEBT2INC,0.002952643464667369,0.0007046473994869662,2.7865651275822187e-05,***,0.0030*** (0.0007),Car-loan acceptance,X405_BIN,86625,0.07816393068644212
